city/country,currency,average income
HONG KONG,HKD,773132.46city/country,currency,average income
HONG KONG,HKD,773132.46
INDIA,INR,298197.00city/country,currency,average income
HONG KONG,HKD,773132.46
INDIA,INR,298197.00
SINGAPORE,SGD,2949903.90city/country,currency,average income
HONG KONG,HKD,773132.46
INDIA,INR,298197.00
SINGAPORE,SGD,2949903.90
USA,USD,9217117.36city/country,currency,average income
HONG KONG,HKD,773132.46
INDIA,INR,298197.00
SINGAPORE,SGD,2949903.90
USA,USD,9217117.36
seuol,KRW,968561.08
